 143
 5.00           184
 5.17           167
 5.35           178
 5.52           195
 5.70           190
 5.87           174
 6.05           177
 6.22           233
 6.40           188
 6.57           229
 6.75           207
 6.92           239
 7.10           252
 7.28           224
 7.45           271
 7.63           275
 7.80           270
 7.98           269
 8.15           270
 8.33           298
 8.50           279
 8.68           272
 8.85           290
 9.03           329
 9.21           331
 9.38           344
 9.56           375
 9.73           434
 9.91           429
10.08           525
10.26           513
10.43           626
10.61           678
10.78           728
10.96           788
11.14           826
11.31           903
11.49           929
11.66          1060
11.84          1071
12.01          1201
12.19          1286
12.36          1350
12.54          1291
12.71          1368
12.89          1360
13.07          1402
13.24          1508
13.42          1444
13.59          1512
13.77          1498
13.94          1640
14.12          1545
14.29          1654
14.47          1623
14.64          1768
14.82          1754
14.99          1780
15.17          1800
15.35          1738
15.52          1802
15.70          1807
15.87          1942
16.05          1712
16.22          1776
16.40          1702
16.57          1752
16.75          1629
16.92          1742
17.10          1722
17.28          1708
17.45          1770
17.63          1784
17.80          2095
17.98          2896
18.15          4746
18.33          5510
18.50          4665
18.68          2559
18.85          2003
19.03          1921
19.21          1933
19.38          2042
19.56          2022
19.73          1942
19.91          2180
20.08          2511
20.26          6587
20.43         11969
20.61         13342
20.78         12973
20.96          8260
21.14          2401
21.31          1692
21.49          1555
21.66          1520
21.84          1443
22.01          1491
22.19          1514
22.36          1497
22.54          1379
22.71          1362
22.89          1315
23.07          1319
23.24          1385
23.42          1240
23.59          1230
23.77          1219
23.94          1144
24.12          1134
24.29          1161
24.47          1055
24.64          1136
24.82          1031
24.99          1081
25.17          1056
25.35          1027
25.52          1037
25.70           996
25.87           988
26.05           896
26.22           917
26.40           876
26.57           839
26.75           785
26.92           792
27.10           801
27.28           711
27.45           695
27.63           757
27.80           742
27.98           695
28.15           699
28.33           654
28.50           695
28.68           702
28.85           664
29.03           643
29.21           632
29.38           634
29.56           548
29.73           589
29.91           632
