4	50
5	53
5,29	70
5,58	81
5,87	83
6,16	151
6,46	352
6,75	643
7,04	1047
7,33	1459
7,63	1927
7,92	2148
8,21	2577
8,5	2735
8,8	2958
9,09	3015
9,38	3180
9,67	3325
9,97	3374
10,26	3350
10,55	3373
10,84	3303
11,14	3158
11,43	3042
11,72	2925
12,01	2818
12,3	2964
12,6	4472
12,89	5198
13,18	3181
13,47	2468
13,77	2776
14,06	4465
14,35	10188
14,64	6286
14,94	2407
15,23	1906
15,52	1850
15,81	1671
16,11	1589
16,4	1615
16,69	1471
16,98	1439
17,28	1408
17,57	1316
17,86	1226
18,15	1172
18,45	1149
18,74	1077
19,03	996
19,32	992
19,61	977
19,91	964
20,2	896
20,49	961
20,78	912
21,08	910
21,37	917
21,66	911
21,95	798
22,25	799
22,54	815
22,83	730
23,12	793
23,42	826
23,71	779
24	741
24,29	786
24,59	744
