5	30
5.29	34
5.58	45
5.87	38
6.16	63
6.46	127
6.75	180
7.04	192
7.33	210
7.63	247
7.92	237
8.21	227
8.5	193
8.8	180
9.09	129
9.38	124
9.67	73
9.97	56
10.26	50
10.55	51
10.84	39
11.14	40
11.43	46
11.72	48
12.01	74
12.3	207
12.6	921
12.89	1551
13.18	847
13.47	599
13.77	555
14.06	866
14.35	2184
14.64	1251
14.94	374
15.23	270
15.52	208
15.81	198
16.11	163
16.4	169
16.69	149
16.98	110
17.28	86
17.57	96
17.86	96
18.15	100
18.45	85
18.74	81
19.03	72
19.32	62
19.61	65
19.91	65
20.2	73
20.49	59
20.78	60
21.08	66
21.37	61
21.66	75
21.95	59
22.25	81
22.54	66
22.83	80
23.12	73
23.42	64
23.71	68
24	77
24.29	68
24.59	62
