 143
 5.00            92
 5.17            71
 5.35            74
 5.52            85
 5.70            88
 5.87            79
 6.05            90
 6.22            86
 6.40            83
 6.57            70
 6.75            84
 6.92            80
 7.10           101
 7.28            85
 7.45           101
 7.63            82
 7.80            86
 7.98            88
 8.15           102
 8.33            90
 8.50            86
 8.68            93
 8.85           107
 9.03           109
 9.21           134
 9.38           128
 9.56           154
 9.73           175
 9.91           178
10.08           180
10.26           213
10.43           221
10.61           236
10.78           239
10.96           256
11.14           268
11.31           249
11.49           218
11.66           264
11.84           251
12.01           246
12.19           260
12.36           253
12.54           244
12.71           241
12.89           233
13.07           245
13.24           228
13.42           188
13.59           193
13.77           203
13.94           231
14.12           193
14.29           192
14.47           197
14.64           162
14.82           163
14.99           181
15.17           176
15.35           182
15.52           186
15.70           185
15.87           179
16.05           185
16.22           154
16.40           157
16.57           159
16.75           174
16.92           175
17.10           194
17.28           165
17.45           156
17.63           167
17.80           193
17.98           218
18.15           185
18.33           249
18.50           264
18.68           394
18.85           612
19.03           685
19.21           710
19.38           711
19.56           680
19.73           743
19.91           816
20.08          1162
20.26          2990
20.43          5567
20.61          4835
20.78          2318
20.96           925
21.14           523
21.31           508
21.49           432
21.66           451
21.84           383
22.01           404
22.19           375
22.36           364
22.54           362
22.71           309
22.89           305
23.07           322
23.24           323
23.42           324
23.59           260
23.77           266
23.94           254
24.12           278
24.29           211
24.47           249
24.64           228
24.82           221
24.99           215
25.17           211
25.35           160
25.52           241
25.70           175
25.87           189
26.05           147
26.22           173
26.40           143
26.57           152
26.75           140
26.92           146
27.10           164
27.28           139
27.45           153
27.63           142
27.80           136
27.98           128
28.15           124
28.33           109
28.50           114
28.68           128
28.85           119
29.03           110
29.21           113
29.38           105
29.56           103
29.73           104
29.91           111
